Episode:0, eps_reward:1.0, max_hit_reward:1.0, agent.max_reward: 0, epsilon: 0.7865334084168147
Episode:203, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:204, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:205, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:206, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:207, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:208, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:209, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:210, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:211, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:212, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:213, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:214, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:215, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:216, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:217, eps_reward:5.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:218, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:219, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:220, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:221, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:222, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:223, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:224, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:225, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:226, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:227, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:228, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:229, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:230, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:231, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:232, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:233, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:234, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:235, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:236, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:237, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:238, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:239, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:240, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:241, eps_reward:4.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:242, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:243, eps_reward:3.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:244, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:245, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:246, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:247, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:248, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:249, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:250, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:251, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:252, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:253, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:254, eps_reward:2.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:255, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:256, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:257, eps_reward:0.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:258, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
Episode:259, eps_reward:1.0, max_hit_reward:6.0, agent.max_reward: 6.0, epsilon: 0.1
